code,label,营业收入(万元),营业成本(万元),营业利润(万元),利润总额(万元),所得税费用(万元),净利润(万元),基本每股收益,货币资金(万元),应收账款(万元),存货(万元),流动资产合计(万元),固定资产净额(万元),资产总计(万元),流动负债合计(万元),非流动负债合计(万元),负债合计(万元),所有者权益(或股东权益)合计(万元),期初现金及现金等价物余额(万元),经营活动产生的现金流量净额(万元),投资活动产生的现金流量净额(万元),筹资活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),期末现金及现金等价物余额(万元)
002352,1,"81,265","70,579","2,711","2,791",379,"2,412",0.31,"10,910","17,141","15,510","65,967","23,105","96,392","19,239","5,364","24,603","71,790","11,093","14,854","-7,966","-14,049","-7,137","3,956"
600870,-1,"22,416","19,815","-8,042","-23,210",20,"-23,230",-0.44,"3,982",194,--,"4,563",5,"5,816","5,316",0,"5,316",499,"6,854","-11,269","5,653",498,"-5,740","1,114"
600053,1,"112,376","71,762","19,423","33,013","4,451","28,562",0.66,"63,546","19,912","191,347","316,971","4,460","459,222","269,470","69,582","339,052","120,171","7,882","50,065","42,870","-39,256","53,629","61,511"
300476,1,"108,673","83,075","11,391","11,875","1,559","10,316",0.94,"18,214","38,516","12,207","76,477","44,851","128,519","69,783",160,"69,943","58,576","15,013","20,385","-12,065","-15,850","-7,469","7,544"
600779,-1,"36,487","11,644","-30,745","-29,633","12,217","-41,850",-0.86,"10,830","1,136","77,639","97,855","49,019","162,215","32,081","9,541","41,622","120,593","23,951","-10,589","-2,883",-580,"-14,052","9,900"
600146,1,"2,162","2,076",-257,513,--,513,0.07,"1,060",315,676,"6,685","3,159","29,574","7,569",701,"8,269","21,305","2,484","-2,961",534,607,"-1,821",663
300294,1,"43,779","16,759","12,939","13,591","2,071","11,520",1.37,"34,594","5,055","12,753","60,268","16,361","101,783","8,686",704,"9,390","92,393","39,572","12,188","-13,446","-3,790","-5,048","34,525"
002432,1,"42,545","29,262","2,031",993,153,839,0.03,"11,790","8,358","27,268","69,672","16,639","100,244","24,059",310,"24,369","75,875","33,868","-6,892","-17,136",-46,"-24,078","9,790"
603300,1,"33,358","10,929","9,010","10,282","1,743","8,539",0.56,"2,870","26,507",122,"35,155","75,982","112,864","22,505","28,011","50,516","62,348","2,853","11,873","-7,121","-4,736",16,"2,870"
600862,1,"152,605","131,530","-18,422","-16,947","4,149","-21,096",-0.32,"89,228","22,210","334,154","498,213","132,574","680,658","460,274","110,551","570,824","109,834","55,308","1,503","-7,596","12,796","6,703","62,011"
002167,1,"84,450","65,311","-5,300",705,113,592,0.01,"10,192","49,765","24,613","97,546","104,469","295,652","89,000","69,652","158,652","137,000","26,230","1,968","-1,001","-20,944","-20,219","6,012"
002610,1,"300,278","251,879","10,312","10,949","1,085","9,864",0.29,"113,165","125,525","16,497","288,663","382,081","842,374","461,408","142,637","604,045","238,329","19,686","-8,006","-161,511","191,214","21,846","41,532"
002281,1,"243,305","188,339","13,161","15,189",776,"14,413",0.76,"105,932","54,783","77,253","290,556","60,266","358,577","113,597","7,308","120,905","237,672","51,871","12,559","-54,126","61,784","20,001","71,872"
603600,1,"95,985","77,851","6,213","6,675","1,241","5,435",0.72,"6,756","9,704","10,234","29,819","17,411","50,029","23,963",133,"24,096","25,933","4,660","6,298","-2,680","-1,638","2,096","6,756"
002136,1,"76,497","70,588",-728,379,60,319,0.02,"4,023","3,212","15,909","33,660","64,668","104,572","43,923",837,"44,760","59,812","4,457","6,712","-3,105","-4,015",-434,"4,023"
300458,1,"124,196","86,395","9,803","11,289",255,"11,034",0.92,"78,513",227,"21,521","101,501","7,537","119,730","18,195","1,618","19,813","99,917","63,441","32,525","-9,069","-8,420","15,072","78,513"
300218,1,"133,219","105,078","4,732","6,124",231,"5,894",0.25,"37,397","7,635","19,160","69,859","81,097","175,686","69,595","7,852","77,447","98,239","38,512","18,070","-26,488","6,175","-2,249","36,262"
002709,1,"70,569","49,783","6,497","7,291",898,"6,394",0.52,"14,750","18,467","10,035","52,337","39,588","102,597","17,311",586,"17,897","84,699","7,465","6,897","-17,147","17,305","7,026","14,491"
002649,1,"156,146","103,712","16,541","19,083","2,095","16,988",1.03,"71,161","37,662",2,"111,670","29,532","209,992","44,530","9,701","54,231","155,761","78,947","23,417","-29,982",-442,"-7,785","71,161"
000662,1,"49,943","42,766",833,873,248,625,0.03,"25,279","10,647","3,695","49,671","23,571","82,993","25,549",0,"25,550","57,443","20,932",808,"6,679","-4,140","3,347","24,279"
601208,1,"143,701","106,805","18,117","19,362","2,680","16,681",0.27,"29,261","29,065","20,354","110,851","111,582","297,178","57,718","15,991","73,709","223,469","29,388","9,009","-35,596","26,147",-440,"28,947"
000009,1,"431,148","292,719","54,688","58,848","11,593","47,255",0.20,"198,860","77,338","613,852","1,014,725","165,463","1,472,550","615,076","311,061","926,137","546,413","147,259","47,463","-34,181","30,845","44,028","191,287"
000739,1,"423,276","313,135","34,307","37,721","5,049","32,672",0.30,"80,772","72,821","58,512","233,524","179,960","506,181","248,743","26,843","275,587","230,594","42,106","78,664","-47,165","-32,385",-959,"41,147"
600126,1,"1,444,905","1,390,653","-4,329","4,405","1,992","2,413",0.01,"34,734","4,817","140,178","480,146","205,076","702,852","328,155","11,524","339,679","363,173","23,428","109,019","-4,024","-101,680","3,315","26,742"
002415,1,"1,723,311","957,827","437,756","520,634","52,564","468,070",1.17,"719,966","428,153","229,193","1,910,789","150,042","2,129,052","611,213","29,923","641,136","1,487,916","458,413","370,642","-104,063","-11,965","252,712","711,125"
000798,1,"37,876","37,966","-5,862","2,009",60,"1,949",0.07,"29,744","1,481","13,924","57,386","25,932","92,904","7,484","1,160","8,644","84,259","25,234","-1,566","7,863","-1,757","4,511","29,744"
601918,1,"656,250","671,848","-187,843","-197,375",-250,"-197,124",-0.76,"82,525","54,820","49,772","358,797","1,354,185","2,889,403","947,484","1,244,512","2,191,996","697,407","50,445","-118,711","-194,728","335,936","22,497","72,942"
002543,1,"397,772","279,577","30,022","31,236","4,547","26,689",0.61,"53,807","41,433","79,940","238,911","69,599","375,620","110,232","7,341","117,573","258,048","71,757","20,725","-22,192","-22,114","-23,446","48,311"
300033,1,"144,194","16,928","108,843","112,006","16,284","95,722",1.78,"304,201","1,264",--,"311,547","40,566","355,817","141,206","1,895","143,101","212,717","118,155","161,484","13,038","-2,150","172,367","290,521"
300364,1,"26,974","14,474","3,992","5,369",759,"4,610",0.51,"5,996","9,754",145,"19,212",485,"43,313","12,602",520,"13,122","30,191","11,633","3,833","-14,073","4,521","-5,719","5,914"
600415,1,"384,328","199,256","54,337","54,399","13,752","40,646",0.15,"171,666","9,568","992,660","1,217,717","553,243","2,849,841","1,584,176","337,543","1,921,719","928,121","92,031","113,207","-295,125","257,526","75,608","167,639"
002502,1,"47,678","36,153","3,718","3,695",325,"3,371",0.12,"36,225","17,546","8,011","63,780","17,676","98,996","6,876",0,"6,876","92,120","44,439","4,944","-12,126","-1,024","-8,214","36,225"
300057,1,"217,398","176,344","18,932","25,099","3,133","21,967",0.43,"70,303","58,482","63,965","219,643","152,235","449,891","222,557","17,103","239,660","210,231","49,352","15,206","-12,943","-11,421","-8,935","40,417"
300154,1,"68,144","48,138","12,421","13,082","2,063","11,019",0.50,"118,859","7,602","22,534","160,706","9,962","175,893","24,713",384,"25,097","150,796","104,599","9,366","1,993","-2,063","9,327","113,927"
002319,1,"59,758","46,749",990,"1,051",160,891,0.03,"2,656","22,675","10,147","40,469","41,520","95,459","26,742","9,621","36,363","59,096","9,877","2,905","-9,254","-1,470","-7,819","2,058"
300325,1,"137,851","120,430","7,195","7,339","1,238","6,101",0.18,"39,138","45,643","19,642","125,996","22,009","180,910","87,724","14,123","101,847","79,063","35,829","7,477","-22,111","10,394","-4,259","31,569"
000898,1,"7,404,600","6,549,000","156,500","157,900","65,500","92,400",0.13,"171,200","183,500","1,086,500","2,662,400","4,612,200","9,129,100","3,675,100","634,400","4,309,500","4,819,600","112,600","213,700","-442,500","287,400","58,600","171,200"
300244,1,"133,510","84,778","15,022","15,231","2,446","12,785",0.61,"30,851","37,500","8,859","80,099","11,364","110,871","39,976",711,"40,686","70,184","27,210","11,795","-12,872","4,625","3,547","30,757"
600006,1,"1,747,125","1,500,520","16,966","19,633","2,008","17,624",0.07,"401,289","93,516","172,197","1,298,745","327,068","1,943,925","1,096,466","56,211","1,152,677","791,248","366,414","-32,834","18,936","19,828","6,047","372,462"
300125,1,"37,441","29,350","-2,881",755,-225,979,0.07,"31,916","11,788","21,540","99,809","61,031","197,101","38,328","47,015","85,343","111,758","34,092","1,382","-3,753","-5,101","-7,076","27,016"
002221,1,"1,331,426","1,269,982","18,226","18,219","4,445","13,774",0.22,"324,970","58,333","98,310","604,888","101,963","1,129,914","542,354","254,467","796,821","333,093","197,390","-35,959","-214,875","271,531","20,903","218,293"
600335,1,"9,034,354","8,679,171","111,037","112,572","34,393","78,179",1.39,"540,498","70,722","1,746,656","3,107,313","135,325","3,453,048","2,883,990","34,203","2,918,193","534,854","351,807","-356,815","-50,105","542,353","135,317","487,123"
600576,1,"1,193",958,"-2,702","-2,132",123,"-2,255",-0.06,306,1,"32,575","39,796","7,798","64,718","9,333","3,516","12,849","51,869","4,544","-4,002","1,543","-1,779","-4,238",306
000807,1,"1,909,280","1,828,036","-96,596","-90,545","-18,400","-72,145",-0.30,"168,824","15,188","277,532","616,942","1,329,354","2,440,502","1,182,358","788,287","1,970,645","469,858","107,702","29,514","-120,953","102,168","10,630","118,332"
